"music_title","difficulty_name","music_id","difficulty_id","count","played","comp","ex_comp","uc","per","grade_C","grade_B","grade_A","grade_Ap","grade_AA","grade_AAp","grade_AAA","grade_AAAp","grade_S","grade_995","grade_998","avg_score","sd_score","avg_skill_u8","avg_skill_9","avg_skill_10","avg_skill_11","avg_skill_12_n","avg_skill_12_g","avg_skill_12_h","avg_vf_u7","avg_vf_8_i_ii","avg_vf_8_iii_iv","avg_vf_9_i","avg_vf_9_ii","avg_vf_9_iii","avg_vf_9_iv","avg_vf_10_i","avg_vf_10_ii","avg_vf_10_iii","avg_vf_10_iv"
"Wings of Glory","EXHAUST","1128","3","2205","1265","70","533","229","108","2180","2159","2144","2141","2128","2096","1996","1763","1285","759","346","9785483","642326","8615927","8625647","9432943","9805553","9918835","9941564","9973628","9222694","9799285","9896062","9915902","9943367","9948609","9967966","9974049","9942694","9990326","9989269"
"Wings of Glory","MAXIMUM","1128","4","3003","413","710","1799","66","15","2968","2959","2945","2939","2884","2684","2195","1600","859","321","116","9688523","716581","9629715","9476668","8870017","9445487","9738220","9852256","9923818","8701031","9380431","9567909","9673423","9806693","9864783","9912945","9943080","9939618","9957323","9979108"
"Яe's NoVǢ","NOVICE","1129","1","62","6","0","1","14","41","61","61","61","60","59","59","58","58","55","54","51","9792188","1238137","9917214","9113009","9970434","9351472","9995221","10000000","10000000","9852168","9992335","9990144","9993430","8367280","10000000","10000000","10000000","10000000","0","10000000"
"Яe's NoVǢ","ADVANCED","1129","2","159","40","5","14","59","41","159","159","158","157","157","151","130","123","108","92","73","9868709","231218","9708797","9609751","9887791","9961998","9981149","9996409","9996832","9771308","9939407","9953153","9991472","9999252","9994287","9998878","10000000","10000000","0","9996634"
"Яe's NoVǢ","EXHAUST","1129","3","2127","1018","56","436","524","93","2112","2103","2101","2097","2082","2051","1929","1754","1271","766","344","9823652","612712","8509746","9134879","9587177","9852661","9929652","9950252","9892877","9438160","9828877","9907421","9933051","9953673","9872329","9979472","9991118","9990842","9998064","9997511"
"Яe's NoVǢ","MAXIMUM","1129","4","3015","405","572","1764","251","23","2985","2972","2957","2940","2912","2769","2378","1897","1179","505","190","9742896","543571","9666409","7577889","8914168","9566634","9789034","9880746","9924988","8963691","9462163","9643303","9761328","9871278","9876758","9925644","9940365","9959904","9971285","9984143"
"BlueMoon Princess","NOVICE","1130","1","66","9","0","3","8","46","66","66","66","66","66","65","64","61","61","56","51","9967630","91434","9947858","9546223","9896279","9996477","9997438","10000000","10000000","9915896","10000000","9998591","9997182","10000000","9998591","10000000","10000000","10000000","0","10000000"
"BlueMoon Princess","ADVANCED","1130","2","287","94","4","64","62","63","285","284","283","283","281","270","246","222","185","149","106","9835588","444883","9574642","9481042","9827423","9914729","9977367","9991577","9998380","9693246","9899540","9951338","9969133","9990301","9994358","9997448","10000000","10000000","0","10000000"
"BlueMoon Princess","EXHAUST","1130","3","2500","1124","111","1012","167","86","2474","2469","2464","2458","2446","2427","2334","2106","1468","691","289","9824913","553706","9011575","9161196","9485878","9794098","9923350","9939390","9967122","9377071","9756874","9878199","9921349","9938316","9944588","9962699","9971610","9985938","9982542","9991300"
"BlueMoon Princess","MAXIMUM","1130","4","2940","619","773","1432","91","25","2877","2849","2830","2809","2727","2425","1882","1351","784","317","129","9591393","843131","9551173","4918728","8636462","9288322","9633799","9794799","9909878","7825344","9251415","9488116","9582783","9725894","9801874","9905378","9907214","9898510","9958772","9981171"
"crossing blue","NOVICE","1131","1","70","8","0","1","4","57","70","70","70","70","70","70","68","68","63","60","60","9975755","72759","9914008","9758638","9997459","9998984","10000000","10000000","10000000","9929497","10000000","10000000","9999274","10000000","10000000","10000000","10000000","10000000","0","10000000"
"crossing blue","ADVANCED","1131","2","482","262","10","100","55","55","471","470","467","466","463","453","409","342","236","169","107","9710361","936971","8810491","9498850","9678036","9851425","9966487","9713765","9990687","9544315","9860252","9859903","9959975","9992303","9970092","9827041","10000000","10000000","0","9999621"
"crossing blue","EXHAUST","1131","3","2755","1226","186","1189","97","57","2635","2589","2581","2573","2545","2469","2210","1711","911","371","155","9487162","1403090","7438065","7118022","8383622","9504161","9792164","9897815","9807888","8129750","9428297","9749318","9838924","9836188","9819391","9893977","9740075","9979954","9983415","9991167"
"crossing blue","MAXIMUM","1131","4","3079","582","782","1591","71","53","3006","2980","2960","2952","2918","2727","2226","1767","1066","474","219","9615218","978226","9523660","5286160","8635785","9384806","9669159","9784320","9903742","8329773","9339622","9517119","9615295","9717870","9797112","9870763","9903809","9957716","9961502","9985484"
"Xéroa","NOVICE","1132","1","68","10","0","5","17","36","68","68","68","68","67","64","61","57","55","51","47","9916949","174981","9723901","9532051","9958333","9952991","9980235","9991025","10000000","9800213","9919414","9970696","9994872","9991025","10000000","9998575","10000000","10000000","0","10000000"
"Xéroa","ADVANCED","1132","2","538","261","15","149","72","41","538","536","535","535","531","505","411","322","196","119","77","9797959","237926","9461408","9653033","9681618","9809935","9909926","9965574","9987573","9661335","9797912","9847411","9898077","9952861","9968846","9982447","9996819","10000000","10000000","9996466"
"Xéroa","EXHAUST","1132","3","2860","521","340","1523","434","42","2850","2849","2849","2839","2767","2664","2295","1818","1128","482","159","9786556","371510","9649508","8989106","9386085","9651815","9838807","9883524","9937062","9241104","9589426","9753041","9822667","9862910","9900526","9929511","9950391","9952263","9964553","9984997"
"Xéroa","MAXIMUM","1132","4","2581","704","1068","787","22","0","2472","2453","2350","2297","1865","1227","618","317","107","30","6","9237425","1067411","8578809","8497008","8000350","8366154","9353656","9539402","9705659","5609157","7511251","8935619","9308125","9445458","9556596","9605193","9783041","9786058","9697692","9910490"
"Awakening","NOVICE","1133","1","71","9","0","2","13","47","71","71","71","71","71","71","69","69","68","64","60","9977465","75684","9939286","9825000","9993000","9966563","10000000","10000000","10000000","9957115","9933571","10000000","9997000","9999167","10000000","10000000","10000000","10000000","0","10000000"
"Awakening","ADVANCED","1133","2","490","219","12","99","120","40","489","489","488","488","486","478","448","401","273","157","85","9855828","463306","9676172","9742482","9807590","9835994","9941314","9981114","9987927","9788271","9764525","9915315","9961603","9964118","9984107","9986586","9988076","10000000","10000000","10000000"
